Source MAC,Destination MAC,Source IP,Destination IP,Protocol,Packet Length,TTL,Payload Size,Source Port,Destination Port,Flags,Label
3c:97:0e:1b:81:33,f4:cc:55:de:3a:92,129.21.25.155,8.8.8.8,01,60,128,40,0,0,0,malicious
3c:97:0e:1b:81:33,f4:cc:55:de:3a:92,129.21.25.155,8.8.8.8,01,60,128,40,0,0,0,malicious
3c:97:0e:1b:81:33,f4:cc:55:de:3a:92,129.21.25.155,8.8.8.8,01,60,128,40,0,0,0,malicious
3c:97:0e:1b:81:33,f4:cc:55:de:3a:92,129.21.25.155,8.8.8.8,01,60,128,40,0,0,0,malicious
3c:97:0e:1b:81:33,f4:cc:55:de:3a:92,129.21.25.155,8.8.8.8,01,60,128,40,0,0,0,malicious
00:1e:27:00:27:a3,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,576,64,556,0,0,0,benign
00:1e:27:00:27:a3,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,576,64,556,0,0,0,benign
00:1e:27:00:27:a3,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,576,64,556,0,0,0,benign
00:1e:27:00:27:a3,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,576,64,556,0,0,0,benign
00:1e:27:00:27:a3,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,576,64,556,0,0,0,benign
00:1e:27:00:27:a3,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,576,64,556,0,0,0,benign
00:1e:27:00:27:81,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,576,64,556,0,0,0,benign
00:0c:85:8e:ca:00,00:1e:27:00:27:81,192.168.15.199,192.168.15.6,11,328,255,308,0,0,0,benign
00:1e:27:00:27:81,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,576,64,556,0,0,0,benign
00:1e:27:00:27:a3,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,576,64,556,0,0,0,benign
00:0c:85:8e:ca:00,00:1e:27:00:27:a3,192.168.15.199,192.168.15.3,11,328,255,308,0,0,0,benign
00:1e:27:00:27:a3,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,576,64,556,0,0,0,benign
3c:97:0e:1b:81:33,00:0c:85:8e:ca:00,192.168.15.10,192.168.15.199,11,328,128,308,0,0,0,benign
bc:fe:d9:29:ff:09,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,328,255,308,0,0,0,benign
00:0c:85:8e:ca:00,ff:ff:ff:ff:ff:ff,192.168.15.199,255.255.255.255,11,328,255,308,0,0,0,benign
00:1e:27:00:27:a3,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,576,64,556,0,0,0,benign
00:1e:27:00:27:a3,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,576,64,556,0,0,0,benign
b8:ae:6e:60:4d:f5,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,328,64,308,0,0,0,benign
b8:ae:6e:60:4d:f5,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,576,64,556,0,0,0,benign
00:1e:27:00:27:a3,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,576,64,556,0,0,0,benign
00:1e:27:00:27:a3,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,576,64,556,0,0,0,benign
00:1e:27:00:27:a3,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,576,64,556,0,0,0,benign
00:1e:27:00:27:a3,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,576,64,556,0,0,0,benign
00:1e:27:00:27:a3,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,576,64,556,0,0,0,benign
00:1e:27:00:27:a3,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,576,64,556,0,0,0,benign
68:05:ca:01:ea:6d,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,334,128,314,0,0,0,benign
68:05:ca:01:ea:6d,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,334,128,314,0,0,0,benign
68:05:ca:01:ea:6d,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,334,128,314,0,0,0,benign
00:0c:85:8e:ca:00,68:05:ca:01:ea:6d,192.168.15.199,192.168.15.26,11,328,255,308,0,0,0,benign
68:05:ca:01:ea:6d,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,334,128,314,0,0,0,benign
68:05:ca:01:ea:6d,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,334,128,314,0,0,0,benign
68:05:ca:01:ea:6d,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,334,128,314,0,0,0,benign
00:0c:85:8e:ca:00,68:05:ca:01:ea:6d,192.168.15.199,192.168.15.26,11,328,255,308,0,0,0,benign
68:05:ca:01:ea:6d,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,334,128,314,0,0,0,benign
68:05:ca:01:ea:6d,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,334,128,314,0,0,0,benign
68:05:ca:01:ea:6d,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,334,128,314,0,0,0,benign
00:0c:85:8e:ca:00,68:05:ca:01:ea:6d,192.168.15.199,192.168.15.26,11,328,255,308,0,0,0,benign
00:1e:27:00:27:a3,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,576,64,556,0,0,0,benign
00:1e:27:00:27:a3,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,576,64,556,0,0,0,benign
00:1e:27:00:27:a3,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,576,64,556,0,0,0,benign
00:0c:85:8e:ca:00,00:1e:27:00:27:a3,192.168.15.199,192.168.15.3,11,328,255,308,0,0,0,benign
00:1e:27:00:27:a3,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,576,64,556,0,0,0,benign
00:0c:85:8e:ca:00,00:1e:27:00:27:a3,192.168.15.199,192.168.15.3,11,328,255,308,0,0,0,benign
00:1e:27:00:27:a3,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,576,64,556,0,0,0,benign
00:1e:27:00:27:a3,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,576,64,556,0,0,0,benign
00:0c:85:8e:ca:00,00:1e:27:00:27:a3,192.168.15.199,192.168.15.3,11,328,255,308,0,0,0,benign
00:1e:27:00:27:a3,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,11,576,64,556,0,0,0,benign
00:0c:85:8e:ca:00,00:1e:27:00:27:a3,192.168.15.199,192.168.15.3,11,328,255,308,0,0,0,benign
00:1e:27:00:27:a3,00:0c:85:8e:ca:00,192.168.15.3,192.168.15.199,11,576,64,556,0,0,0,benign
00:0c:85:8e:ca:00,00:1e:27:00:27:a3,192.168.15.199,192.168.15.3,11,328,255,308,0,0,0,benign
00:1e:27:00:27:a3,00:0c:85:8e:ca:00,192.168.15.3,192.168.15.199,11,576,64,556,0,0,0,benign
00:0c:85:8e:ca:00,00:1e:27:00:27:a3,192.168.15.199,192.168.15.3,11,328,255,308,0,0,0,benign
00:1e:27:00:27:a3,00:0c:85:8e:ca:00,192.168.15.3,192.168.15.199,11,576,64,556,0,0,0,benign
00:0c:85:8e:ca:00,00:1e:27:00:27:a3,192.168.15.199,192.168.15.3,11,328,255,308,0,0,0,benign
